Open,Close,High,Low,Volume,Date
34258.82813,35298.29,35298.28906,33931.42969,,07/25/21
33640.98047,34265.62,34489.62891,33447.73047,,07/24/21
32335.78906,33545.67,33545.67188,32075.08984,,07/23/21
32119.74023,32311.53,32530.05078,31769.2207,,07/22/21
29798.98047,32114.55,32542.06055,29541.94922,,07/21/21
30870.74023,29797.27,31023.36914,29374.42969,,07/20/21
31786.53906,30859.38,31876.4707,30545.19922,,07/19/21
31562.25,31805.54,32387.0293,31301.64063,,07/18/21
31444.0293,31582.98,31923.78906,31274.53906,,07/17/21
31884.33984,31465.97,32212.40039,31122.18945,,07/16/21
32824.73828,31678.61,33151.30078,31224.57031,,07/15/21
32758.34961,32817.58,33035.5,31720.98047,,07/14/21
33086.17188,32692.81,33308.03906,32280.36914,,07/13/21
34251.98047,33154.59,34584.32031,32698.06055,,07/12/21
33562.21875,34236.41,34543.62109,33368.46875,,07/11/21
33806.35938,33541.98,34200.89063,33145.57813,,07/10/21
32852.03906,33893.99,34022.53906,32339.15039,,07/09/21
33864.32813,32846.71,33892.39063,32227.91016,,07/08/21
34207.69922,33851.71,34984.58984,33847.28906,,07/07/21
33715.46094,34168.25,35083.01172,33610.58984,,07/06/21
35174.73047,33820.02,35313.44922,33274.92188,,07/05/21
34630.89844,35309.54,35920.76953,34418.83984,,07/04/21
33833.98047,34663.68,34881.80859,33402.87109,,07/03/21
33526.98047,33884,33919.39844,32773.23047,,07/02/21
35044.76953,33556.63,35050.73047,32910.67188,,07/01/21
35898.76953,35020.6,36051.46875,34094.73828,,06/30/21
34496.73047,35884.7,36500.87891,34286.55859,,06/29/21
34640.32031,34416.81,35200.57813,33964.82813,,06/28/21
32252.89063,34592.41,34668.30078,31954.42969,,06/27/21
31667.73047,31954.4,32618.10938,30258.15039,,06/26/21
34679.33984,31711.31,35457.94141,31355.61914,,06/25/21
33683.67188,34621.61,35191.05859,32423.56055,,06/24/21
32499.81055,33631.96,34707.16016,31924.03906,,06/23/21
31690.46094,32454.55,33224.94922,29062.35938,,06/22/21
35591.57031,31607.73,35693.10938,31358.25977,,06/21/21
35518.32813,35669.1,35987.69922,33455.28125,,06/20/21
35775.73828,35547.73,36326.23828,34910.57031,,06/19/21
38050.23828,35658.52,38180.82813,35230.60156,,06/18/21
38349.44141,38078.6,39509.30078,37539.12109,,06/17/21
40130.01953,38339.76,40453.89063,38166.03125,,06/16/21
40495.78906,40231.57,41287.35156,39648.35156,,06/15/21
39054.26953,40461.82,40933.89063,38796.76953,,06/14/21
35561.64844,39093.8,39247.41016,34912.23047,,06/13/21
37326.37109,35539.3,37385.53125,34796.33984,,06/12/21
36664.19141,37251.18,37577.69922,36009.10156,,06/11/21
37400.30078,36720.54,38292.64063,35853.05078,,06/10/21
33402.94922,37285.4,37509.57813,32476.88086,,06/09/21
33622.96875,33433.52,34032.19141,31242.65039,,06/08/21
35842.12109,33526.24,36740.42188,33449.98828,,06/07/21
35543.69922,35806.37,36420.62891,35359.80078,,06/06/21
36903.46875,35561.6,37900.92188,34932.05859,,06/05/21
39218.89063,36941.02,39218.89063,35811.76953,,06/04/21
37534.07813,39135.49,39467.67188,37267.32813,,06/03/21
36718.78906,37599.42,38167.07031,36014.53906,,06/02/21
37249.85156,36635.15,37844.73047,35815.73828,,06/01/21
35637.01172,37307.08,37442.60156,34261.16016,,05/31/21
34616.85938,35660.99,36402.41016,33608.01172,,05/30/21
35708.17969,34576.78,37186.5,33744.16016,,05/29/21
38457.57031,35670.69,38838.42188,34816.35156,,05/28/21
39249.96094,38462.93,40283.85938,37295.69141,,05/27/21
38381.85938,39253.29,40719.48828,37916.35938,,05/26/21
38812.05859,38270.47,39786.76172,36681.83984,,05/25/21
34816.23047,38649.98,39651.67188,34692.12891,,05/24/21
37500.19141,34871.35,38234.96094,31476.69922,,05/23/21
37331.76172,37548.16,38772.12891,35574.48047,,05/22/21
40694.19141,37201.3,42030.07813,34035.39844,,05/21/21
37124.80078,40671.9,42348.76172,35316.60156,,05/20/21
42977.48047,37335.3,43501.76953,30971.34961,,05/19/21
43683.19922,42999.85,45769.39844,42450.03906,,05/18/21
46499.76172,43484.87,46557.78125,42326.14063,,05/17/21
46951.87109,46453.69,49694.62891,44001.08984,,05/16/21
49925.30078,46837.94,50643.75,46737.12109,,05/15/21
49306.53906,49932.56,51508.26953,48980.94141,,05/14/21
49525.51172,49729.82,51336.23828,47181.12891,,05/13/21
56731.35938,50419.71,57954.71875,50412.53906,,05/12/21
55894.73828,56751.4,56906.07813,54616.28906,,05/11/21
58386.19922,55840.47,59528.28906,54685.28906,,05/10/21
58927.14844,58242.45,59241.35156,56526.60156,,05/09/21
57397.10938,58774.34,59507.03906,57093.07031,,05/08/21
56456.42969,57375.17,58646.64844,55375.05859,,05/07/21
57495.03906,56385.67,58330.41016,55438.25,,05/06/21
53208.85156,57316.76,57811.32813,53120.32813,,05/05/21
57196.71875,53276.79,57214.89063,53276.78906,,05/04/21
56593.78906,57213.02,58919.19922,56587.51172,,05/03/21
57819.76172,56609.07,57872.92969,56170.28125,,05/02/21
57696.96875,57792.17,58431.39844,57102.05078,,05/01/21
53572.12109,57792.35,57878.64844,53148.26172,,04/30/21
54914.67188,53574.55,55138.14063,52477.21875,,04/29/21
55065.62109,54794.04,56243.30859,53985.94141,,04/28/21
53986.67969,55009.09,55442.80078,53401.01172,,04/27/21
49168.85156,54067.25,54344.21094,48976.55078,,04/26/21
50191.71094,49078.04,50568.28906,47278.07031,,04/25/21
51176.05859,50114.51,51196.41016,48926.48828,,04/24/21
51680.96094,51101.97,52065.80859,47735.42188,,04/23/21
53911.25,51816.58,55385.05859,50839.92969,,04/22/21
56527.42188,53862.65,56786.46094,53727.80078,,04/21/21
55744.76172,56480.5,57084.35156,53561.89844,,04/20/21
56328.85938,55713.53,57548.66016,54432.48828,,04/19/21
60233.62891,56313.71,60456.89844,53447.23047,,04/18/21
61467.01172,60275.67,62467.78906,59869.12891,,04/17/21
63337.37891,61587.34,63566.30078,60099.16016,,04/16/21
63154.26953,63243.16,63769.71094,62097.78125,,04/15/21
63627.21094,62828.21,64748.91016,61461.05078,,04/14/21
59865.26172,63587.85,63592.44141,59833.03906,,04/13/21
60115.35156,59855.52,61083.76172,59645.23047,,04/12/21
59914.55859,60010.33,60607.23047,59276.67188,,04/11/21
58173.71875,59724.72,61015.10938,57966.57031,,04/10/21
58110.98047,58146.53,58853.12891,57758.07813,,04/09/21
56008.37109,58001.64,58141.46875,55814.62109,,04/08/21
58052.17969,56178.03,58600.92188,55600.80859,,04/07/21
59128.17188,58094.1,59418.69922,57492.60938,,04/06/21
58291.44922,58816.76,59155.53125,56962.96094,,04/05/21
57041.89063,58244.46,58494.48047,56633.17188,,04/04/21
59005.94922,57157.28,59658.55859,57103.12891,,04/03/21
58788.94141,59004.09,59969.17969,58533.48828,,04/02/21
58783.92969,58765.49,59357.42188,58084.64844,,04/01/21
58771.44141,58689.51,59735.66016,57411.67188,,03/31/21
57619.76172,58706.09,59340.42188,57069.32813,,03/30/21
55814.23828,57637.24,58304.64063,54957.28906,,03/29/21
55942.71875,55772.43,56514.28906,54794.67188,,03/28/21
55183.78906,55819.6,56480.35938,54042.75,,03/27/21
51366.28906,54961.19,54996.85938,51366.28906,,03/26/21
52331.37109,51512.4,53183.37109,50533.39844,,03/25/21
54339.48828,52458.37,57176,52056.01172,,03/24/21
54246.23047,54554.5,55816.89844,53200.60938,,03/23/21
57416.83984,54297.51,58405.05859,53948.80859,,03/22/21
58091.12891,57458.47,58603.76172,55814.89063,,03/21/21
58078.46094,58128.34,59857.42969,57965.26172,,03/20/21
57606.35938,58143.05,59435.57813,56385.23047,,03/19/21
59117.32813,57704.98,60003.37891,57194.69141,,03/18/21
57032.89844,58772.67,58901.53125,54406.39063,,03/17/21
55537.37109,56744.23,56800.51172,53412.21875,,03/16/21
59183.98828,55833.95,60517.46094,55284.14063,,03/15/21
61087,59329.07,61562.98047,59329.07031,,03/14/21
57225.10938,61254.6,61643.58984,56180.76953,,03/13/21
57890.51172,57302.86,57993.76953,55191.01172,,03/12/21
56046.05078,57807.61,58105.80859,54428.78125,,03/11/21
54953.17969,56015.04,57311.78906,53185.26953,,03/10/21
52423.21094,54822.95,54840.26172,51994.92188,,03/09/21
50912.17969,52257.41,52347.73828,49387.71094,,03/08/21
49000.25,51249.89,51397.28125,48886.48828,,03/07/21
48879.07813,48909.44,49148.69141,47178.60156,,03/06/21
48348.30078,48940.87,49419.69922,46453.39844,,03/05/21
50298.73828,48553.92,51749.82031,47590.01953,,03/04/21
48419.39063,50550.34,52518.28125,48224.05859,,03/03/21
49600.73047,48352.14,50180.19922,47187.89063,,03/02/21
45339.08984,49651.55,49770.57813,45067.44922,,03/01/21
46064.82031,45072.23,46627.39063,43191.78125,,02/28/21
46343.05859,46162.55,48307.75,45144.44141,,02/27/21
47040.33984,46374.56,48450.30859,44352.42188,,02/26/21
49782.60938,47209.75,52034.53906,47103.46875,,02/25/21
48936.25,49652.27,51377.55078,47161.98828,,02/24/21
54133.10938,48819.05,54216.75,45149.53125,,02/23/21
57506.96875,54214.81,57506.60156,48780.82031,,02/22/21
55979.41016,57475.88,58313.41016,55612.28906,,02/21/21
55986.14844,56064.8,57488.08984,54604.51172,,02/20/21
51640.53906,55901.89,56209.14063,50882.21875,,02/19/21
52211.46094,51708.27,52519.76953,50982.80078,,02/18/21
49264.64063,52173.11,52579.21875,49046.35938,,02/17/21
47937.05078,49227.91,50382.23047,47130.28906,,02/16/21
48717.62891,47933.3,48950.78125,46315.16016,,02/15/21
47238.03906,48781.39,49677.25,47160.53125,,02/14/21
47470.17188,47166.48,48109.51172,46397.96875,,02/13/21
48083.23047,47586.24,48802.62109,46433.28906,,02/12/21
44910.19922,47883.68,48570.89844,44114.03125,,02/11/21
46545.26172,44956.37,47318.14844,43869.64844,,02/10/21
46629.37109,46596.26,48137.21875,45130.55859,,02/09/21
38868.78906,46341.15,46352.16016,38070.64063,,02/08/21
39019.53125,38943.01,39706.30859,37469.64844,,02/07/21
38350.32813,39340.46,40958.17188,38231.10156,,02/06/21
37033.83984,38206.25,38299.39063,36687.44922,,02/05/21
37692.82031,36953.07,38709.44922,36297.25,,02/04/21
35518.19141,37554.99,37617.26953,35423.21094,,02/03/21
33480.71094,35560.7,35984.05078,33480.51172,,02/02/21
33101.01953,33539.61,34696.51172,32360.75977,,02/01/21
34254.5,33166.64,34335.67188,32269.08008,,01/31/21
34349.58984,34321.9,34886.82031,32920.91016,,01/30/21
33419.66016,34348.54,38527.44141,31990.2793,,01/29/21
30513.08984,33298.34,33793.07031,29954.18945,,01/28/21
32551.76953,30413.57,32576.33984,29326.14063,,01/27/21
32165.11914,32568.63,32901.03906,30903.51953,,01/26/21
32247.80078,32375.66,34841.48047,32036.4707,,01/25/21
32047.93945,32271.76,32997.78906,31038.28906,,01/24/21
32920.94141,32063.26,33457.53125,31464.19922,,01/23/21
30719.84961,32967.62,33852.08984,28878.46094,,01/22/21
35537.08984,30799.55,35582.46094,30155.67969,,01/21/21
35851.98047,35567.37,36396.28906,33466.05078,,01/20/21
36723.46875,36042.67,37796.42188,36040.48047,,01/19/21
35910.14063,36632.23,37417.01172,34846.67969,,01/18/21
35928.89844,35737.19,36794.01953,33951.46094,,01/17/21
36857.89844,36179.24,37935.44922,35477.35938,,01/16/21
39182.14844,36823.83,39649.98047,34573.67188,,01/15/21
37483.92969,39209.17,40019.26953,36851.07813,,01/14/21
33957.03906,37287.22,37702.01172,32478.24023,,01/13/21
35443.28125,33779.76,36596.32031,32628.01953,,01/12/21
38203.10156,35518.76,38295.17188,30378.2793,,01/11/21
40288.39063,38294.18,41331.87891,35654.16016,,01/10/21
40620.35156,40144.84,41354.66016,38842.71094,,01/09/21
39460.26172,40729.44,41934.10938,36857.26953,,01/08/21
36897.44922,39379.05,40266.82031,36446.17969,,01/07/21
34065.10156,36863.94,36915.05078,33434.30078,,01/06/21
32063.73047,33968.78,34432.96094,30082.5,,01/05/21
32955.39063,31977.75,33556,28525.60938,,01/04/21
32152.68945,32823.52,34672.30859,31965.34961,,01/03/21
29353.76953,32059.13,33161.98047,29034.09961,,01/02/21
28986.88086,29358.07,29614.5293,28748,,01/01/21
28895.83008,29004.26,29287.40039,28078.57031,,12/31/20
27404.57031,28811.25,28973.51953,27361.57031,,12/30/20
27040.89063,27360.34,27374.14063,25902.71094,,12/29/20
26278.58008,27078.85,27411.73047,26131.58984,,12/28/20
26504.24023,26223.77,28353.28906,25815.03906,,12/27/20
24743,26446.69,26754,24518.48047,,12/26/20
23767.44922,24671.75,24756.98047,23458.63086,,12/25/20
23221.18945,23725.92,23779.56055,22752.30078,,12/24/20
23824.40039,23230.35,24049.84961,22827.00977,,12/23/20
22779.71094,23764.85,23792.38086,22418.93945,,12/22/20
23445.57031,22826.75,24071.32031,22115.35938,,12/21/20
23810.42969,23477.78,24253,23129.25977,,12/20/20
23156.50977,23867.52,24099.35938,22842.68945,,12/19/20
22812.49023,23149.69,23267.75977,22381.71094,,12/18/20
21352.98047,22822.27,23670.76953,21245.88086,,12/17/20
19448.63086,21323.21,21515.38086,19313.59961,,12/16/20
19283,19446.74,19552.31055,19089.2207,,12/15/20
19139.33008,19277.82,19337.38086,19011.39063,,12/14/20
18838.19922,19156.6,19402.13086,18752.92969,,12/13/20
18057.85938,18824.91,18937.96094,18048.84961,,12/12/20
18281.4707,18057.92,18285.64063,17615.56055,,12/11/20
18557.18945,18267.79,18566.94922,17941.41016,,12/10/20
18317.23047,18566.33,18640.28906,17671.5,,12/09/20
19197.10938,18325.36,19287.18945,18255.21094,,12/08/20
19394,19195.41,19424.16016,18945.44922,,12/07/20
19158.63086,19345.55,19411.09961,18911.18945,,12/06/20
18690.64063,19160.4,19180.61914,18534.86914,,12/05/20
19430.48047,18702.44,19529.41992,18649.9707,,12/04/20
19244.5,19453.35,19607.08008,18925.91016,,12/03/20
18783.28906,19221.53,19341.31055,18371.09961,,12/02/20
19662.61914,18823.88,19904.46094,18271.31055,,12/01/20
18217.07031,19655.21,19825.16992,18188.46094,,11/30/20
17741.71094,18187.98,18331.14063,17565.94922,,11/29/20
17156.88086,17730.87,17891.49023,16899.68945,,11/28/20
17179.33008,17125.06,17455.2793,16505.83008,,11/27/20
18711.24023,17133.58,18895.43945,16284.87988,,11/26/20
19170.23047,18740.77,19480.5293,18567.60938,,11/25/20
18366.2207,19145.5,19408.06055,18161.08984,,11/24/20
18439.33008,18398.78,18758.5,18023.66016,,11/23/20
18690.83008,18397.44,18742.14063,17623.5293,,11/22/20
18682.14063,18680.5,18956.67969,18435.26953,,11/21/20
17816.18945,18645.6,18802.0293,17782.84961,,11/20/20
17806.51953,17833.79,18164.2207,17386.39063,,11/19/20
17660.96094,17813.32,18446.11914,17327.83008,,11/18/20
16714.82031,17663.37,17833.03906,16577.43945,,11/17/20
15956.36035,16730.38,16871.17969,15900.96973,,11/16/20
16101.79004,15979.18,16175.7998,15817.44043,,11/15/20
16332.57031,16101.2,16339.03027,15765.50977,,11/14/20
16311.16992,16334.53,16477.80078,15998.12012,,11/13/20
15712.29004,16289.24,16333.88965,15517.36035,,11/12/20
15319.5,15709.3,15953.62012,15292.87988,,11/11/20
15328.33008,15301.1,15461.71973,15114.15039,,11/10/20
15485.04004,15336.5,15813.90039,14864.37012,,11/09/20
14803.33984,15485.55,15649.78027,14725.23047,,11/08/20
15585.67969,14813.55,15753.08984,14426.98047,,11/07/20
15608.7998,15578.57,15937.2002,15230.78027,,11/06/20
14158.38965,15592.3,15725.44043,14118.34961,,11/05/20
14031.12988,14153.74,14237.53027,13573.95996,,11/04/20
13580.46973,14000.55,14050.57031,13307.51953,,11/03/20
13776.84961,13577.26,13838.74023,13257.71973,,11/02/20
13759.84961,13764.15,13898.16016,13648.33008,,11/01/20
13581.7998,13807.61,14016.03027,13461.87012,,10/31/20
13455.80957,13572.46,13677.42969,13146.69043,,10/30/20
13278.03027,13449.69,13638.32031,12999.37988,,10/29/20
13659.61035,13284.13,13846.2002,12917.20996,,10/28/20
13069.26953,13671.59,13777,13065.26953,,10/27/20
13039.79004,13081.23,13238.29004,12814.16016,,10/26/20
13115.24023,13034.9,13339.24023,12916.73047,,10/25/20
12930.46973,13119.54,13159.32031,12886.40039,,10/24/20
12976.30957,12938.36,13025.01953,12738.01953,,10/23/20
12809.54004,12992.37,13186.91992,12705.91992,,10/22/20
11919.54004,12823.52,13206.32031,11907.24023,,10/21/20
